ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
SAZY,CPC,AVIADOR C CAMPOS,SAN MARTIN DES ANDES,ARGENTINA,-40.075,-71.137
SBAA,CDJ,UNKNOWN,CONCEICAO DO ARAGUAIA,BRAZIL,-8.347999999999999,-49.301
SBAF,,CAMPO DELIO JARDIM DE MATTOS,RIO DE JANEIRO,BRAZIL,-22.875,-43.38399999999999
SBAM,,AMAPA,AMAPA,BRAZIL,2.077,-50.861999999999995
SBAQ,AQA,ARARAQUARA,ARARACUARA,BRAZIL,-21.811999999999998,-48.133
SBAR,AJU,SANTA MARIA,ARACAJU,BRAZIL,-10.984000000000002,-37.07
SBAS,,ASSIS,ASSIS,BRAZIL,-22.638,-50.456
SBAT,AFL,ALTA FLORESTA,ALTA FLORESTA,BRAZIL,-9.866,-56.106
SBAU,ARU,ARACATUBA,ARACATUBA,BRAZIL,-21.141,-50.425
SBAV,,USINA PORTO PRIMAVERA,TEODORO SAMPAIO,BRAZIL,-22.526,-52.972
SBBE,BEL,VAL DE CAES,BELEM,BRAZIL,-1.379,-48.476000000000006
SBBG,BGX,COMANDANTE GUSTAVO KRAEMER,BAGE,BRAZIL,-31.39,-54.111999999999995
SBBH,PLU,PAMPULHA,BELO HORIZONTE,BRAZIL,-19.852,-43.95
SBBI,BFH,BACACHERI,CURITIBA,BRAZIL,-25.405,-49.232
SBBQ,,MAJOR BRIGADEIRO DOORGAL BORGES,BARBACENA,BRAZIL,-21.267,-43.761
SBBR,BSB,PRESIDENTE JUSCELINO KUBITSCHEK,BRASILIA,BRAZIL,-15.862,-47.913000000000004
SBBU,BAU,BAURU,BAURU,BRAZIL,-22.345,-49.053999999999995
SBBV,BVB,BOA VISTA,BOA VISTA,BRAZIL,2.846,-60.69
SBBW,,BARRA DO GARCAS,BARRA DO GARCAS,BRAZIL,-15.860999999999999,-52.388999999999996
SBCA,CAC,CASCAVEL,CASCAVEL,BRAZIL,-25.0,-53.501000000000005
SBCC,,CACHIMBO,ITAITUBA,BRAZIL,-9.334,-54.965
SBCF,CNF,TANCREDO NEVES,BELO HORIZONTE,BRAZIL,-19.634,-43.968999999999994
SBCG,CGR,CAMPO GRANDE,CAMPO GRANDE,BRAZIL,-20.469,-54.672
SBCH,XAP,CHAPECO,CHAPECO,BRAZIL,-27.134,-52.656000000000006
SBCI,CLN,CAROLINA,CAROLINA,BRAZIL,-7.32,-47.458999999999996
SBCL,,,PARAUAPEBAS,BRAZIL,0.0,0.0
SBCM,,FORQUILHINHA,CRICIUMA,BRAZIL,-28.726,-49.425
SBCO,,CANOAS,PORTO ALEGRE,BRAZIL,-29.945999999999998,-51.144
SBCP,CAW,BARTOLOMEU LISANDRO,CAMPOS,BRAZIL,-21.698,-41.302
