,Date,Airport,Latitude,Longitude,Max Temp,Precip,Precip Type,Wind Speed
226,2015-08-15,DFW,32.896,-97.037,94.9,0.0,NA,12.7
227,2015-08-16,DFW,32.896,-97.037,97.1,0.0,NA,11.4
228,2015-08-17,DFW,32.896,-97.037,96.2,0.0,NA,13.9
229,2015-08-18,DFW,32.896,-97.037,98.1,0.0,NA,18.3
230,2015-08-19,DFW,32.896,-97.037,90.0,0.06,"rain,",23.0
231,2015-08-20,DFW,32.896,-97.037,74.9,0.4,"rain,",13.8
232,2015-08-21,DFW,32.896,-97.037,92.0,0.0,NA,18.3
233,2015-08-22,DFW,32.896,-97.037,96.2,0.0,NA,17.2
234,2015-08-23,DFW,32.896,-97.037,97.1,0.0,NA,17.2
235,2015-08-24,DFW,32.896,-97.037,98.1,0.0,NA,12.7
236,2015-08-25,DFW,32.896,-97.037,92.9,0.0,NA,11.4
237,2015-08-26,DFW,32.896,-97.037,93.8,0.0,NA,12.2
238,2015-08-27,DFW,32.896,-97.037,94.9,0.0,NA,15.0
239,2015-08-28,DFW,32.896,-97.037,97.1,0.0,NA,15.0
240,2015-08-29,DFW,32.896,-97.037,94.9,0.0,NA,17.2
241,2015-08-30,DFW,32.896,-97.037,96.2,0.0,NA,16.1
242,2015-08-31,DFW,32.896,-97.037,93.8,0.0,NA,13.9
243,2015-09-01,DFW,32.896,-97.037,93.8,0.0,NA,13.9
244,2015-09-02,DFW,32.896,-97.037,93.8,0.0,NA,15.0
245,2015-09-03,DFW,32.896,-97.037,94.9,0.0,NA,11.4
246,2015-09-04,DFW,32.896,-97.037,94.9,0.0,NA,12.7
247,2015-09-05,DFW,32.896,-97.037,96.2,0.0,NA,13.9
248,2015-09-06,DFW,32.896,-97.037,98.1,0.0,NA,13.9
249,2015-09-07,DFW,32.896,-97.037,100.1,0.0,NA,12.7
250,2015-09-08,DFW,32.896,-97.037,98.1,0.0,NA,16.1
251,2015-09-09,DFW,32.896,-97.037,89.1,2.0,"rain,",16.1
252,2015-09-10,DFW,32.896,-97.037,92.9,0.0,NA,11.4
253,2015-09-11,DFW,32.896,-97.037,92.9,0.0,NA,20.8
254,2015-09-12,DFW,32.896,-97.037,85.9,0.0,NA,16.1
255,2015-09-13,DFW,32.896,-97.037,91.1,0.0,NA,18.3
256,2015-09-14,DFW,32.896,-97.037,89.1,0.0,NA,19.7
257,2015-09-15,DFW,32.896,-97.037,88.1,0.0,NA,15.0
258,2015-09-16,DFW,32.896,-97.037,92.0,0.0,NA,18.3
259,2015-09-17,DFW,32.896,-97.037,92.9,0.0,NA,19.7
260,2015-09-18,DFW,32.896,-97.037,93.8,0.0,NA,16.1
261,2015-09-19,DFW,32.896,-97.037,85.9,0.14,"rain,",12.7
262,2015-09-20,DFW,32.896,-97.037,88.1,0.0,NA,18.3
263,2015-09-21,DFW,32.896,-97.037,93.8,0.0,NA,8.1
264,2015-09-22,DFW,32.896,-97.037,93.8,0.0,NA,9.2
265,2015-09-23,DFW,32.896,-97.037,92.9,0.0,NA,11.4
266,2015-09-24,DFW,32.896,-97.037,91.1,0.0,NA,11.4
267,2015-09-25,DFW,32.896,-97.037,92.0,0.0,NA,15.0
